age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income
40.41108627784255,Private,295480.24902583857,Some-college,10.006303989639218,Never-married,Exec-managerial,Not-in-family,White,Male,-0.0001494044214487076,7.187541574239731e-05,47.69035482538533,United-States,<=50K
21.536388159564112,Private,139352.1666534271,HS-grad,8.999252894876856,Married-civ-spouse,Transport-moving,Own-child,White,Male,-6.597696244716644e-05,-0.00013495242595672609,34.67422827965374,United-States,<=50K
54.405948535271826,Local-gov,231893.7951658643,Some-college,10.087201992005175,Married-civ-spouse,Adm-clerical,Not-in-family,White,Male,4.4385150074958804e-05,-5.388621240854264e-05,39.999982611007695,United-States,<=50K
62.17763658784858,Private,199462.29631993352,HS-grad,9.000226201249617,Married-civ-spouse,Craft-repair,Husband,White,Male,-0.00011342382431030274,-0.00010251420736312866,39.99976962897897,United-States,<=50K
40.44718196696033,Private,205660.54415746877,Bachelors,13.349512058540736,Never-married,Exec-managerial,Own-child,White,Male,-0.00014283429086208344,-0.0001529882252216339,39.99965215710521,United-States,<=50K
55.670280084250244,Local-gov,214505.4286924888,Bachelors,13.023400926777759,Married-civ-spouse,Adm-clerical,Husband,White,Male,-3.378767520189285e-05,-2.4602102115750313e-05,40.00061629725218,United-States,>50K
34.31712258295483,Private,193015.15654018996,Assoc-acdm,12.71314531791898,Divorced,Farming-fishing,Not-in-family,White,Female,-0.0001449044346809387,-9.582120925188065e-05,48.13949117114113,United-States,<=50K
36.25766094398993,Private,95577.01873095137,Bachelors,12.856245409977818,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,9.550058096647263e-05,4.488994926214218e-05,40.00024831802369,Philippines,<=50K
40.60098642178869,Self-emp-inc,194135.05626125648,Bachelors,10.086094452587584,Married-civ-spouse,Exec-managerial,Husband,White,Male,-6.20589405298233e-05,-4.2435366660356526e-05,48.77945355799213,United-States,<=50K
59.82202445591766,Private,43292.60732238663,Assoc-voc,10.122734769172132,Widowed,Other-service,Not-in-family,White,Female,-7.181784510612489e-05,-0.00016263653337955476,9.113662417039276,United-States,<=50K
23.473357147765395,Private,218755.46297304434,Some-college,9.671908297116424,Never-married,Other-service,Own-child,White,Female,-0.0002545485198497772,-4.532978311181069e-05,10.94819889838601,United-States,<=50K
